Categoria,Nome do Produto,Voltagem,Preço Principal,Preço à Vista,Qtd. Parcelas,Valor Parcela,URL da Imagem
Cassete,Ar-Condicionado Split Cassete Inverter 4 Vias R-32 Elgin Eco 36.000 BTUs Só Frio 220V Monofásico,36000 BTUs,"R$ R$ 9.099,00 à prazo","ou R$ 8.644,05 à vista",8x,"R$ 1.137,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-inverter-4-vias-r-32-elgin-eco-36-000-btus-s-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete Inverter 1 Via Carrier 12.000 BTUs R-32 Quente/Frio 220V Monofásico,220  V,"R$ 6.299,00","ou R$ 5.984,05 à vista",8x,"R$ 787,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-inverter-1-via-carrier-connect-12-000-btus-r-32-quente-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete Inverter 1 Via Carrier 12.000 BTUs R-32 Quente/Frio 220V Monofásico,12000 BTUs,"R$ R$ 6.299,00 à prazo","ou R$ 5.984,05 à vista",8x,"R$ 787,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-inverter-1-via-carrier-connect-12-000-btus-r-32-quente-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete Inverter 4 Vias Midea Connect 24.000 BTUs R-32 Só Frio 220V Monofásico,220  V,"R$ 8.099,00","ou R$ 7.694,05 à vista",8x,"R$ 1.012,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-inverter-4-vias-springer-midea-connect-24-000-btus-r-32-s-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete Inverter 4 Vias Midea Connect 24.000 BTUs R-32 Só Frio 220V Monofásico,24000 BTUs,"R$ R$ 8.099,00 à prazo","ou R$ 7.694,05 à vista",8x,"R$ 1.012,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-inverter-4-vias-springer-midea-connect-24-000-btus-r-32-s-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Inverter Plus R-32 Elgin 18.000 BTUs Só Frio 220V Monofásico,220  V,"R$ 6.499,00","ou R$ 6.174,05 à vista",8x,"R$ 812,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-plus-r-32-elgin-18-000-btus-s-frio-220v-monof-sico-10.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Inverter Plus R-32 Elgin 18.000 BTUs Só Frio 220V Monofásico,18000 BTUs,"R$ R$ 6.499,00 à prazo","ou R$ 6.174,05 à vista",8x,"R$ 812,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-plus-r-32-elgin-18-000-btus-s-frio-220v-monof-sico-10.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Hitachi Air Core 500 48.000 BTUs Só Frio 220V Trifásico,220  V,"R$ 12.299,00","ou R$ 11.684,05 à vista",8x,"R$ 1.537,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-hitachi-air-core-500-48-000-btus-s-frio-220v-trif-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Hitachi Air Core 500 48.000 BTUs Só Frio 220V Trifásico,48000 BTUs,"R$ R$ 12.299,00 à prazo","ou R$ 11.684,05 à vista",8x,"R$ 1.537,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-hitachi-air-core-500-48-000-btus-s-frio-220v-trif-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Hitachi Air Core 500 55.000 BTUs Só Frio 220V Trifásico,220  V,"R$ 13.899,00","ou R$ 13.204,05 à vista",8x,"R$ 1.737,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-hitachi-air-core-500-55-000-btus-s-frio-220v-trif-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Hitachi Air Core 500 55.000 BTUs Só Frio 220V Trifásico,55000 BTUs,"R$ R$ 13.899,00 à prazo","ou R$ 13.204,05 à vista",8x,"R$ 1.737,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-hitachi-air-core-500-55-000-btus-s-frio-220v-trif-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Hitachi Air Core 500 55.000 BTUs Só Frio 380V Trifásico,380  V,"R$ 13.599,00","ou R$ 12.919,05 à vista",8x,"R$ 1.699,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-hitachi-air-core-500-55-000-btus-s-frio-380v-trif-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Hitachi Air Core 500 55.000 BTUs Só Frio 380V Trifásico,55000 BTUs,"R$ R$ 13.599,00 à prazo","ou R$ 12.919,05 à vista",8x,"R$ 1.699,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-hitachi-air-core-500-55-000-btus-s-frio-380v-trif-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Inverter TCL 24.000 BTUs Quente/Frio 220V Monofásico,220V  V,"R$ 7.749,00","ou R$ 7.361,55 à vista",8x,"R$ 968,63 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-tcl-24-000-btus-quente-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Inverter TCL 24.000 BTUs Quente/Frio 220V Monofásico,24000 BTUs,"R$ R$ 7.749,00 à prazo","ou R$ 7.361,55 à vista",8x,"R$ 968,63 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-tcl-24-000-btus-quente-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Teto Inverter LG WI-FI Conect 30.000 BTUs Quente/Frio 220V Monofásico,,"R$ 9.469,00","ou R$ 8.995,55 à vista",8x,"R$ 1.183,63 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-inverter-lg-wi-fi-conect-30-000-btus-quente-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Teto Inverter LG WI-FI Conect 30.000 BTUs Quente/Frio 220V Monofásico,30000 BTUs,"R$ R$ 9.469,00 à prazo","ou R$ 8.995,55 à vista",8x,"R$ 1.183,63 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-inverter-lg-wi-fi-conect-30-000-btus-quente-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Teto Inverter LG WI-FI Conect 47.000 BTUs Quente/Frio 220V Monofásico,220  V,"R$ 12.999,00","ou R$ 12.349,05 à vista",8x,"R$ 1.624,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-inverter-lg-wi-fi-conect-47-000-btus-quente-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Teto Inverter LG WI-FI Conect 47.000 BTUs Quente/Frio 220V Monofásico,47000 BTUs,"R$ R$ 12.999,00 à prazo","ou R$ 12.349,05 à vista",8x,"R$ 1.624,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-inverter-lg-wi-fi-conect-47-000-btus-quente-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Teto Inverter LG WI-FI Conect 52.000 BTUs Quente/Frio 220V Monofásico,,"R$ 14.799,00","ou R$ 14.059,05 à vista",8x,"R$ 1.849,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-inverter-lg-wi-fi-conect-52-000-btus-quente-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Teto Inverter LG WI-FI Conect 52.000 BTUs Quente/Frio 220V Monofásico,52000 BTUs,"R$ R$ 14.799,00 à prazo","ou R$ 14.059,05 à vista",8x,"R$ 1.849,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-inverter-lg-wi-fi-conect-52-000-btus-quente-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter R-32 Gree G-Prime Compact 57.000 BTUs Só Frio 220V Monofásico,220  V,"R$ 10.999,00","ou R$ 10.449,05 à vista",8x,"R$ 1.374,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-r-32-gree-g-prime-compact-57-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter R-32 Gree G-Prime Compact 57.000 BTUs Só Frio 220V Monofásico,57000 BTUs,"R$ R$ 10.999,00 à prazo","ou R$ 10.449,05 à vista",8x,"R$ 1.374,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-r-32-gree-g-prime-compact-57-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter R-32 Gree G-Prime Compact 36.000 BTUs Só Frio 220V Monofásico,,"R$ 8.599,00","ou R$ 8.169,05 à vista",8x,"R$ 1.074,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-r-32-gree-g-prime-compact-36-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter R-32 Gree G-Prime Compact 36.000 BTUs Só Frio 220V Monofásico,36000 BTUs,"R$ R$ 8.599,00 à prazo","ou R$ 8.169,05 à vista",8x,"R$ 1.074,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-r-32-gree-g-prime-compact-36-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Teto Inverter Carrier Xpower Connect 36.000 BTUs R-32 Só Frio 220V Monofásico,,"R$ 9.789,00","ou R$ 9.299,55 à vista",8x,"R$ 1.223,63 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-inverter-carrier-xpower-connect-36-000-btus-r-32-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Teto Inverter Carrier Xpower Connect 36.000 BTUs R-32 Só Frio 220V Monofásico,36000 BTUs,"R$ R$ 9.789,00 à prazo","ou R$ 9.299,55 à vista",8x,"R$ 1.223,63 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-inverter-carrier-xpower-connect-36-000-btus-r-32-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter R-32 Philco Eco 55.000 BTUs Só Frio 220V Monofásico,,"R$ 10.499,00","ou R$ 9.974,05 à vista",8x,"R$ 1.312,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-r-32-philco-eco-55-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter R-32 Philco Eco 55.000 BTUs Só Frio 220V Monofásico,55000 BTUs,"R$ R$ 10.499,00 à prazo","ou R$ 9.974,05 à vista",8x,"R$ 1.312,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-r-32-philco-eco-55-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Hitachi Air Core 58.000 BTUs Só Frio 380V Trifásico,220  V,"R$ 11.299,00","ou R$ 10.734,05 à vista",8x,"R$ 1.412,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-hitachi-air-core-58-000-btus-s-frio-380v-trif-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Hitachi Air Core 58.000 BTUs Só Frio 380V Trifásico,58000 BTUs,"R$ R$ 11.299,00 à prazo","ou R$ 10.734,05 à vista",8x,"R$ 1.412,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-hitachi-air-core-58-000-btus-s-frio-380v-trif-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter Plus R-32 Elgin 36.000 BTUs Só Frio 220V Monofásico,,"R$ 7.999,00","ou R$ 7.599,05 à vista",8x,"R$ 999,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-plus-r-32-elgin-36-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter Plus R-32 Elgin 36.000 BTUs Só Frio 220V Monofásico,36000 BTUs,"R$ R$ 7.999,00 à prazo","ou R$ 7.599,05 à vista",8x,"R$ 999,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-plus-r-32-elgin-36-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter Plus R-32 Elgin 48.000 BTUs Só Frio 220V Monofásico,,"R$ 10.499,00","ou R$ 9.974,05 à vista",8x,"R$ 1.312,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-plus-r-32-elgin-48-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter Plus R-32 Elgin 48.000 BTUs Só Frio 220V Monofásico,48000 BTUs,"R$ R$ 10.499,00 à prazo","ou R$ 9.974,05 à vista",8x,"R$ 1.312,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-plus-r-32-elgin-48-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter Plus R-32 Elgin 56.000 BTUs Só Frio 220V Monofásico,220  V,"R$ 12.099,00","ou R$ 11.494,05 à vista",8x,"R$ 1.512,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-plus-r-32-elgin-56-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter Plus R-32 Elgin 56.000 BTUs Só Frio 220V Monofásico,56000 BTUs,"R$ R$ 12.099,00 à prazo","ou R$ 11.494,05 à vista",8x,"R$ 1.512,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-plus-r-32-elgin-56-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter Eco R-32 Elgin 36.000 BTUs Só Frio 220V Monofásico,,"R$ 7.899,00","ou R$ 7.504,05 à vista",8x,"R$ 987,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-eco-r-32-elgin-36-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter Eco R-32 Elgin 36.000 BTUs Só Frio 220V Monofásico,36000 BTUs,"R$ R$ 7.899,00 à prazo","ou R$ 7.504,05 à vista",8x,"R$ 987,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-eco-r-32-elgin-36-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter Eco R-32 Elgin 48.000 BTUs Só Frio 220V Monofásico,,"R$ 10.159,00","ou R$ 9.651,05 à vista",8x,"R$ 1.269,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-eco-r-32-elgin-48-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter Eco R-32 Elgin 48.000 BTUs Só Frio 220V Monofásico,48000 BTUs,"R$ R$ 10.159,00 à prazo","ou R$ 9.651,05 à vista",8x,"R$ 1.269,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-eco-r-32-elgin-48-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Teto Carrier Xperience 30.000 BTUs Só Frio 220V Monofásico,220  V,"R$ 6.499,00","ou R$ 6.174,05 à vista",8x,"R$ 812,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-carrier-xperience-30-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Teto Carrier Xperience 30.000 BTUs Só Frio 220V Monofásico,30000 BTUs,"R$ R$ 6.499,00 à prazo","ou R$ 6.174,05 à vista",8x,"R$ 812,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-carrier-xperience-30-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Teto Carrier Xperience 57.000 BTUs Só Frio 220V Trifásico,,"R$ 10.299,00","ou R$ 9.784,05 à vista",8x,"R$ 1.287,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-carrier-xperience-57-000-btus-s-frio-220v-trif-sico.webp
Piso Teto,Ar-Condicionado Split Teto Carrier Xperience 57.000 BTUs Só Frio 220V Trifásico,57000 BTUs,"R$ R$ 10.299,00 à prazo","ou R$ 9.784,05 à vista",8x,"R$ 1.287,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-carrier-xperience-57-000-btus-s-frio-220v-trif-sico.webp
Piso Teto,Ar-Condicionado Split Teto Carrier Xperience 57.000 BTUs Só Frio 380V Trifásico,380  V,"R$ 10.299,00","ou R$ 9.784,05 à vista",8x,"R$ 1.287,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-carrier-xperience-57-000-btus-s-frio-380v-trif-sico.webp
Piso Teto,Ar-Condicionado Split Teto Carrier Xperience 57.000 BTUs Só Frio 380V Trifásico,57000 BTUs,"R$ R$ 10.299,00 à prazo","ou R$ 9.784,05 à vista",8x,"R$ 1.287,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-carrier-xperience-57-000-btus-s-frio-380v-trif-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter Eco R-32 Elgin 30.000 BTUs Quente/Frio 220V Trifásico,220  V,"R$ 7.499,00","ou R$ 7.124,05 à vista",8x,"R$ 937,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-eco-r-32-elgin-30-000-btus-quente-frio-220v-trif-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter Eco R-32 Elgin 30.000 BTUs Quente/Frio 220V Trifásico,30000 BTUs,"R$ R$ 7.499,00 à prazo","ou R$ 7.124,05 à vista",8x,"R$ 937,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-eco-r-32-elgin-30-000-btus-quente-frio-220v-trif-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter Plus R-32 Elgin 30.000 BTUs Só Frio 220V Monofásico,,"R$ 7.699,00","ou R$ 7.314,05 à vista",8x,"R$ 962,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-plus-r-32-elgin-30-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter Plus R-32 Elgin 30.000 BTUs Só Frio 220V Monofásico,30000 BTUs,"R$ R$ 7.699,00 à prazo","ou R$ 7.314,05 à vista",8x,"R$ 962,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-plus-r-32-elgin-30-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter TCL 55.000 BTUs Só Frio 220V Monofásico,220  V,"R$ 11.699,00","ou R$ 11.114,05 à vista",8x,"R$ 1.462,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-tcl-55-000-btus-s-frio-220v-monof-sico-5.webp
Piso Teto,Ar-Condicionado Split Piso Teto Inverter TCL 55.000 BTUs Só Frio 220V Monofásico,55000 BTUs,"R$ R$ 11.699,00 à prazo","ou R$ 11.114,05 à vista",8x,"R$ 1.462,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-tcl-55-000-btus-s-frio-220v-monof-sico-5.webp
Piso Teto,Varejo - Desinstalação de Equipamento Piso Teto,Piso Teto,"R$ 300,00","ou R$ 285,00 à vista",8x,"R$ 37,50 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/varejo-desinstala-o-de-equipamento-piso-teto.webp
Piso Teto,Varejo - Desinstalação de Equipamento Piso Teto,Piso Teto,"R$ R$ 300,00 à prazo","ou R$ 285,00 à vista",8x,"R$ 37,50 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/varejo-desinstala-o-de-equipamento-piso-teto.webp
Piso Teto,Instalação de Ar-Condicionado Piso Teto 15.000 a 19.000 BTUs,Piso Teto,"R$ 2.099,00","ou R$ 1.994,05 à vista",8x,"R$ 262,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-inverter-lg-wi-fi-conect-30-000-btus-quente-frio-220v-monof-sico.webp
Piso Teto,Instalação de Ar-Condicionado Piso Teto 15.000 a 19.000 BTUs,Piso Teto,"R$ R$ 2.099,00 à prazo","ou R$ 1.994,05 à vista",8x,"R$ 262,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-inverter-lg-wi-fi-conect-30-000-btus-quente-frio-220v-monof-sico.webp
Piso Teto,Instalação de Ar-Condicionado Piso Teto 20.000 a 30.000 BTUs,Piso Teto,"R$ 2.199,00","ou R$ 2.089,05 à vista",8x,"R$ 274,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-inverter-lg-wi-fi-conect-47-000-btus-quente-frio-220v-monof-sico.webp
Piso Teto,Instalação de Ar-Condicionado Piso Teto 20.000 a 30.000 BTUs,Piso Teto,"R$ R$ 2.199,00 à prazo","ou R$ 2.089,05 à vista",8x,"R$ 274,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-inverter-lg-wi-fi-conect-47-000-btus-quente-frio-220v-monof-sico.webp
Piso Teto,Instalação de Ar-Condicionado Piso Teto 31.000 a 40.000 BTUs,Piso Teto,"R$ 2.599,00","ou R$ 2.469,05 à vista",8x,"R$ 324,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-inverter-lg-wi-fi-conect-52-000-btus-quente-frio-220v-monof-sico.webp
Piso Teto,Instalação de Ar-Condicionado Piso Teto 31.000 a 40.000 BTUs,Piso Teto,"R$ R$ 2.599,00 à prazo","ou R$ 2.469,05 à vista",8x,"R$ 324,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-inverter-lg-wi-fi-conect-52-000-btus-quente-frio-220v-monof-sico.webp
Piso Teto,Instalação de Ar-Condicionado Piso Teto 41.000 a 60.000 BTUs,Piso Teto,"R$ 3.200,00","ou R$ 3.040,00 à vista",8x,"R$ 400,00 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-r-32-gree-g-prime-compact-57-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Instalação de Ar-Condicionado Piso Teto 41.000 a 60.000 BTUs,Piso Teto,"R$ R$ 3.200,00 à prazo","ou R$ 3.040,00 à vista",8x,"R$ 400,00 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-piso-teto-inverter-r-32-gree-g-prime-compact-57-000-btus-s-frio-220v-monof-sico.webp
Piso Teto,Instalação de Ar-Condicionado Piso Teto 61.000 a 80.000 BTUs,Piso Teto,"R$ 4.200,00","ou R$ 3.990,00 à vista",8x,"R$ 525,00 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/instala-o-de-ar-condicionado-piso-teto-61-000-a-80-000-btus.webp
Piso Teto,Instalação de Ar-Condicionado Piso Teto 61.000 a 80.000 BTUs,Piso Teto,"R$ R$ 4.200,00 à prazo","ou R$ 3.990,00 à vista",8x,"R$ 525,00 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/instala-o-de-ar-condicionado-piso-teto-61-000-a-80-000-btus.webp
Piso Teto,Premium - Instalação Ar-Condicionado Split Piso Teto 15.000 a 19.000 BTUs,,"R$ 2.400,00","ou R$ 2.280,00 à vista",8x,"R$ 300,00 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/premium-instala-o-ar-condicionado-split-piso-teto-15-000-a-19-000-btus.webp
Piso Teto,Premium - Instalação Ar-Condicionado Split Piso Teto 15.000 a 19.000 BTUs,Piso Teto,"R$ R$ 2.400,00 à prazo","ou R$ 2.280,00 à vista",8x,"R$ 300,00 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/premium-instala-o-ar-condicionado-split-piso-teto-15-000-a-19-000-btus.webp
Piso Teto,Premium - Instalação Ar-Condicionado Split Piso Teto 20.000 a 30.000 BTUs,,"R$ 2.700,00","ou R$ 2.565,00 à vista",8x,"R$ 337,50 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/premium-instala-o-ar-condicionado-split-piso-teto-20-000-a-30-000-btus.webp
Piso Teto,Premium - Instalação Ar-Condicionado Split Piso Teto 20.000 a 30.000 BTUs,Piso Teto,"R$ R$ 2.700,00 à prazo","ou R$ 2.565,00 à vista",8x,"R$ 337,50 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/premium-instala-o-ar-condicionado-split-piso-teto-20-000-a-30-000-btus.webp
Piso Teto,Premium - Instalação Ar-Condicionado Split Piso Teto 61.000 a 80.000 BTUs,,"R$ 3.500,00","ou R$ 3.325,00 à vista",8x,"R$ 437,50 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/premium-instala-o-ar-condicionado-split-piso-teto-61-000-a-80-000-btus.webp
Piso Teto,Premium - Instalação Ar-Condicionado Split Piso Teto 61.000 a 80.000 BTUs,Piso Teto,"R$ R$ 3.500,00 à prazo","ou R$ 3.325,00 à vista",8x,"R$ 437,50 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/premium-instala-o-ar-condicionado-split-piso-teto-61-000-a-80-000-btus.webp
Piso Teto,Ar-Condicionado Split Teto Carrier Xperience 70.000 BTUs Só Frio 220V Trifásico,220  V,"R$ 12.499,00","ou R$ 11.874,05 à vista",8x,"R$ 1.562,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-carrier-xperience-70-000-btus-s-frio-220v-trif-sico.webp
Piso Teto,Ar-Condicionado Split Teto Carrier Xperience 70.000 BTUs Só Frio 220V Trifásico,70000 BTUs,"R$ R$ 12.499,00 à prazo","ou R$ 11.874,05 à vista",8x,"R$ 1.562,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-carrier-xperience-70-000-btus-s-frio-220v-trif-sico.webp
Piso Teto,Ar-Condicionado Split Teto Inverter Fujitsu 45.000 BTUs Quente/Frio R32 380V Trifásico,220  V,"R$ 15.359,00","ou R$ 14.591,05 à vista",8x,"R$ 1.919,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-teto-inverter-fujitsu-45-000-btus-quente-frio-r32-380v-trif-sico.webp
