Categoria,Nome do Produto,Voltagem,Preço Principal,Preço à Vista,Qtd. Parcelas,Valor Parcela,URL da Imagem
Cassete,Ar-Condicionado Split Cassete 4 Vias Inverter Plus R-32 Elgin 48.000 BTUs Só Frio 220V Monofásico,220  V,"R$ 12.199,00","ou R$ 11.589,05 à vista",8x,"R$ 1.524,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-daikin-skyair-31-000-btus-quente-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Inverter Plus R-32 Elgin 48.000 BTUs Só Frio 220V Monofásico,48000 BTUs,"R$ R$ 12.199,00 à prazo","ou R$ 11.589,05 à vista",8x,"R$ 1.524,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-daikin-skyair-31-000-btus-quente-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Round Cassete Inverter WI-FI LG Quente/Frio 36.000 BTUs 220V Monofásico,220  V,"R$ 15.299,00","ou R$ 14.534,05 à vista",8x,"R$ 1.912,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-daikin-skyair-35-000-btus-quente-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Round Cassete Inverter WI-FI LG Quente/Frio 36.000 BTUs 220V Monofásico,36000 BTUs,"R$ R$ 15.299,00 à prazo","ou R$ 14.534,05 à vista",8x,"R$ 1.912,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-daikin-skyair-35-000-btus-quente-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Inverter Plus R-32 Elgin 58.000 BTUs Só Frio 220V Monofásico,220  V,"R$ 12.299,00","ou R$ 11.684,05 à vista",8x,"R$ 1.537,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-daikin-skyair-46-000-btus-quente-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Inverter Plus R-32 Elgin 58.000 BTUs Só Frio 220V Monofásico,58000 BTUs,"R$ R$ 12.299,00 à prazo","ou R$ 11.684,05 à vista",8x,"R$ 1.537,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-daikin-skyair-46-000-btus-quente-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete 1 Via Inverter Elgin One Air Wi-Fi 12.000 BTUs Quente/Frio 220V Monofásico,220  V,"R$ 5.399,00","ou R$ 5.129,05 à vista",8x,"R$ 674,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-hitachi-air-core-36-000-btus-s-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete 1 Via Inverter Elgin One Air Wi-Fi 12.000 BTUs Quente/Frio 220V Monofásico,12000 BTUs,"R$ R$ 5.399,00 à prazo","ou R$ 5.129,05 à vista",8x,"R$ 674,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-hitachi-air-core-36-000-btus-s-frio-220v-monof-sico.webp
Cassete,Varejo - Desinstalação de Equipamento Cassete,Cassete,"R$ 300,00","ou R$ 285,00 à vista",8x,"R$ 37,50 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/varejo-desinstala-o-de-equipamento-cassete.webp
Cassete,Varejo - Desinstalação de Equipamento Cassete,Cassete,"R$ R$ 300,00 à prazo","ou R$ 285,00 à vista",8x,"R$ 37,50 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/varejo-desinstala-o-de-equipamento-cassete.webp
